colleague_code,primary_activity,sub_activity,indicator,unit
SMC_IND_007,"Provision of site management services including strengthened coordination mechanisms, regular site monitoring, service mapping, and robust referral systems to address gaps and avoid duplication.",Population movement monitoring activities,Population flow counting points are active during high population movement periods,# of days
SMC_IND_008,"Provision of site management services including strengthened coordination mechanisms, regular site monitoring, service mapping, and robust referral systems to address gaps and avoid duplication.",Protection mainstreaming,Sites with protection referral pathway in place,# of sites
SMC_IND_009,"Provision of site management services including strengthened coordination mechanisms, regular site monitoring, service mapping, and robust referral systems to address gaps and avoid duplication.",Protection mainstreaming,Sites with safety audits conducted,# of sites
SMC_IND_010,"Provision of site management services including strengthened coordination mechanisms, regular site monitoring, service mapping, and robust referral systems to address gaps and avoid duplication.",Service coordination supported and improved,People in sites managed or supported by trained Site Management teams,# of individuals
SMC_IND_021,"Provision of site management services including strengthened coordination mechanisms, regular site monitoring, service mapping, and robust referral systems to address gaps and avoid duplication.",Population movement monitoring activities,Number of individuals in sites where monitoring has been conducted with updated demographic information and needs shared within the response coordination structure,# of individuals
SMC_IND_014,"Provision of site management services including strengthened coordination mechanisms, regular site monitoring, service mapping, and robust referral systems to address gaps and avoid duplication.",Service coordination supported and improved,Number of site-level coordination meetings,# of meetings
SMC_IND_027,"Provision of site management services including strengthened coordination mechanisms, regular site monitoring, service mapping, and robust referral systems to address gaps and avoid duplication.",Service coordination supported and improved,Number of monitoring surveys conducted with site focal points,# of surveys
SMC_IND_028,"Provision of site management services including strengthened coordination mechanisms, regular site monitoring, service mapping, and robust referral systems to address gaps and avoid duplication.",Service coordination supported and improved,Number of service/infrastructure mapping reports generated,# of reports
SMC_IND_019,"Provision of site management services including strengthened coordination mechanisms, regular site monitoring, service mapping, and robust referral systems to address gaps and avoid duplication.",Site maintenance and rehabilitation,Communal shelters and collective centers maintained and/or rehabilitated,
SMC_IND_002,"Establishment and strengthening of community representation structures, with two way communication mechanisms in place",Establishment or support provided to community representation structures,People in displacement sites with community representation structures supported by Site Management Agencies,# of individuals
SMC_IND_003,"Establishment and strengthening of community representation structures, with two way communication mechanisms in place",Facilitation of Community Led Projects,Community-led projects implemented,# of CLPs
SMC_IND_004,"Establishment and strengthening of community representation structures, with two way communication mechanisms in place",Information sharing and feedback mechanisms in place,People in sites reached by IEC and awareness raising materials,# of people
SMC_IND_027,"Establishment and strengthening of community representation structures, with two way communication mechanisms in place",Information sharing and feedback mechanisms in place,IEC awareness raising products disseminated,# of products
SMC_IND_028,"Establishment and strengthening of community representation structures, with two way communication mechanisms in place",Information sharing and feedback mechanisms in place,"Sites with Community Feedback Mechanisms in place: Information sessions facilitated, or information materials made available to residents.",# of sites
SMC_IND_029,"Establishment and strengthening of community representation structures, with two way communication mechanisms in place",Information sharing and feedback mechanisms in place,Participants in Community Feedback Mechanism information sessions,# of participants
SMC_IND_005,"Establishment and strengthening of community representation structures, with two way communication mechanisms in place",Training provided to community representation structures,Trainings provided to community representation structures,# of trainings
SMC_IND_006,"Establishment and strengthening of community representation structures, with two way communication mechanisms in place",Training provided to community representation structures,Number of individuals who have recieved training in community representation structures,# of participants
SMC_IND_001,"Capacity-strengthening for SMA staff and voluntunteers, CBOs, other sectoral agencies and stakeholders","Training provided to SMA, CBO, and other stakeholders","Individuals received training in Site Management, including SMA and CBO staff and volunteers, and other stakeholders.",# of individuals
SMC_IND_020,"Works to increase safety and improve dignity of site environments, with risk mitigation measures in place to respond to incidents including seasonal impacts.","Site maintenance, risk reduction and improvements","People in displacement sites with improvements made in site planning, facilities and/or infrastructure including (construction/repair/cleaning drainage, slope stabilisation, etc.) either directly or through community led projects",# of individuals
SMC_IND_022,"Works to increase safety and improve dignity of site environments, with risk mitigation measures in place to respond to incidents including seasonal impacts.","Site maintenance, risk reduction and improvements",People in sites hired via Cash for Work for site maintenance/improvement,# of individuals
SMC_IND_023,"Works to increase safety and improve dignity of site environments, with risk mitigation measures in place to respond to incidents including seasonal impacts.","Site maintenance, risk reduction and improvements","Number of tools distributed for site improvement (count individual tools, not toolkits)",# of tools
SMC_IND_024,"Works to increase safety and improve dignity of site environments, with risk mitigation measures in place to respond to incidents including seasonal impacts.","Site maintenance, risk reduction and improvements",Number of sand/flower bags distributed,# of bags
SMC_IND_025,"Works to increase safety and improve dignity of site environments, with risk mitigation measures in place to respond to incidents including seasonal impacts.","Site maintenance, risk reduction and improvements","Communal spaces established or improved in sites (including safe spaces, child-friendly spaces, committee spaces, community resource spaces)",# of spaces
SMC_IND_026,"Works to increase safety and improve dignity of site environments, with risk mitigation measures in place to respond to incidents including seasonal impacts.","Site maintenance, risk reduction and improvements",Number of individuals trained / supported to conduct site care and maintenance,# of individuals
SMC_IND_029,"Works to increase safety and improve dignity of site environments, with risk mitigation measures in place to respond to incidents including seasonal impacts.",Conduct risk mitigation practices,"Individuals benefitting from site improvements aimed at reducing hazards (fire, flooding, cyclone eg)",
SMC_IND_011,"Support to populations to transition out of sites including support to populations out of sites, community engagement, support for relocation and safe site closures.",Plan and implement site closure and exit strategies,Sites safely closed or decommissioned with land returned to orginal use,# of sites
SMC_IND_012,"Support to populations to transition out of sites including support to populations out of sites, community engagement, support for relocation and safe site closures.",Support safe transition of site based populations,"Individuals supported by Site Management projects facilitating transition through access to services. Including area based site management, hubs, and community resource centres.",# of individuals #projects
SMC_IND_013,"Support to populations to transition out of sites including support to populations out of sites, community engagement, support for relocation and safe site closures.",Undertake intentions and perceptions surveys,Intentions or perceptions surveys conducted,# of assessments
